Part ID	Part name	Qty	Image
"Sixi2-001
"	standoff M4 6x20 95947A056	16	https://imgur.com/KX3Rz3N
Sixi2-002	standoff m3 4.5x12 95947A008	7	https://imgur.com/IH3mTjJ
Sixi2-003	standoff #4-40x7mm M-F	2	
 	standoff #4-40x7mm M-F	2	
Sixi2-005	setScrew M3x4mm flatEnd 92605A098	1	
 	setScrew M3x4mm flatEnd 92605A098	6	
	setScrew M3x4mm flatEnd 92605A098	4	
	setScrew M3x4mm flatEnd 92605A098	10	
Sixi2-009	screw M5x20 socket head cap 90128A248	4	
	screw M5x20 socket head cap 90128A248	4	
	screw M5x20 socket head cap 90128A248	4	
Sixi2-012	screw M4x45 socket head cap partially threaded 91292A133	28	
	screw M4x45 socket head cap partially threaded 91292A133	8	
Sixi2-014	screw M4x25 socket head 91292A122	30	https://imgur.com/v1CkgbG
Sixi2-015	screw M4x14 socket head cap 91292A038	6	
Sixi2-016	screw m3x8 socket head cap 91292A112	14	
	screw m3x8 socket head cap 91292A112	6	
	screw m3x8 socket head cap 91292A112	12	
	screw m3x8 socket head cap 91292A112	8	
	screw m3x8 socket head cap 91292A112	1	
Sixi2-021	screw m3x5 socket head cap 91292A110	2	
	screw m3x5 socket head cap 91292A110	16	
	screw m3x5 socket head cap 91292A110	16	
Sixi2-024	screw m3x45 socket head cap partially threaded 91290A079	12	https://imgur.com/NSbllIR
	screw m3x45 socket head cap partially threaded 91290A079	16	
	screw m3x45 socket head cap partially threaded 91290A079	23	
	screw m3x45 socket head cap partially threaded 91290A079	4	
	screw m3x45 socket head cap partially threaded 91290A079	4	
Sixi2-029	screw m3x35 socket head cap partially threaded 91292A033	4	
	screw m3x35 socket head cap partially threaded 91292A033	4	
Sixi2-031	screw m3x30 socket head cap partially threaded 91292A022	2	
	screw m3x30 socket head cap partially threaded 91292A022	2	
Sixi2-033	screw m3x25 socket head cap paritally threaded 91292A020	12	https://imgur.com/angOEbH
	screw m3x25 socket head cap paritally threaded 91292A020	12	
	screw m3x25 socket head cap paritally threaded 91292A020	22	
	screw m3x25 socket head cap paritally threaded 91292A020	3	
Sixi2-037	screw m3x20 socket head cap 91290A123	4	https://imgur.com/wMKXFRN
	screw m3x20 socket head cap 91290A123	24	
Sixi2-039	screw m3x16 socket head cap 91292A115	6	
	screw m3x16 socket head cap 91292A115	15	
	screw m3x16 socket head cap 91292A115	5	
	screw m3x16 socket head cap 91292A115	2	
Sixi2-043	screw M3x10 socket head cap 91292A113	8	
	screw M3x10 socket head cap 91292A113	2	
	screw M3x10 socket head cap 91292A113	7	
	screw M3x10 socket head cap 91292A113	36	
Sixi2-047	screw m2x6 socket head cap 91292A831	4	
	screw m2x6 socket head cap 91292A831	16	
	screw m2x6 socket head cap 91292A831	10	
	screw m2x6 socket head cap 91292A831	13	
	screw m2x6 socket head cap 91292A831	6	
	screw m2x6 socket head cap 91292A831	6	
Sixi2-053	screw m2x12 socket head cap 91292A834	4	
	screw m2x12 socket head cap 91292A834	2	
	screw m2x12 socket head cap 91292A834	2	
Sixi2-056	nut m5 nylock 90576A104	4	
Sixi2-057	nut M5 hex 90592A095	4	
	nut M5 hex 90592A095	4	
Sixi2-059	nut m4 nylock 90576A103	8	
	nut m4 nylock 90576A103	2	
Sixi2-061	nut M4 hex 90592A090	26	
	nut M4 hex 90592A090	8	
Sixi2-063	nut M3 square DIN 562	7	
	nut M3 square DIN 562	21	
	nut M3 square DIN 562	4	
	nut M3 square DIN 562	6	
Sixi2-067	nut m3 nylock 90576A102	24	
	nut m3 nylock 90576A102	28	
	nut m3 nylock 90576A102	37	
	nut m3 nylock 90576A102	8	
	nut m3 nylock 90576A102	19	
Sixi2-072	nut m3 hex 90592A085	18	
	nut m3 hex 90592A085	18	
	nut m3 hex 90592A085	18	
	nut m3 hex 90592A085	7	
	nut m3 hex 90592A085	27	
	nut m3 hex 90592A085	2	
Sixi2-078	nut m2 hex 90592A075	4	
Sixi2-079	NEMA24 100mm	1	
Sixi2-080	NEMA23 56mm	1	
	NEMA23 56mm	1	
Sixi2-082	NEMA17 48mm	2	
Sixi2-083	NEMA17 39mm	1	
Sixi2-084	case 380mm x 260mm x 105mm	1	https://imgur.com/rg18C09
Sixi2-085	bearing flanged 3x8mm	8	
Sixi2-086	bearing 65x85x10mm 6813 2RS	2	
	bearing 65x85x10mm 6813 2RS	2	
Sixi2-088	bearing 45x58x7 6809z	2	
Sixi2-089	bearing 40x50x6mm 6708 2RS	4	
Sixi2-090	bearing 30x37x4 6706	2	
	bearing 30x37x4 6706	3	
Sixi2-092	bearing 15x21x4 6702	3	
	bearing 15x21x4 6702	3	
	bearing 15x21x4 6702	3	
Sixi2-095	bearing 12x18x4 6701RZ	1	
	bearing 12x18x4 6701RZ	1	
	bearing 12x18x4 6701RZ	1	
	bearing 12x18x4 6701RZ	2	
	bearing 12x18x4 6701RZ	4	
	bearing 12x18x4 6701RZ	8	
Sixi2-101	[MISC] - Timing Belt GT2-400mm	1	
Sixi2-102	[MISC] - Timing Belt GT2-336mm	1	
	[MISC] - Timing Belt GT2-336mm	1	
Sixi2-104	[MISC] - Timing Belt GT2-160mm	3	
Sixi2-105	[MISC] - Braided Cable Sleeve [950mm long]	1	
Sixi2-106	[MECH] - GT2pulley 20t - 5mm	3	
Sixi2-107	[LSR] - PSU plate	1	
Sixi2-108	[LSR] - PicassoCoverPlate-Acrylic	2	
Sixi2-109	[LSR] - MountingBoard 250mmx300mm	1	
Sixi2-110	[LSR] - ForkSensSide-Acrylic	1	
Sixi2-111	[LSR] - ForkGBSide-Acrylic	1	
Sixi2-112	[ELEC] - sensor AS5147 {straight header pins on label side}	1	
	[ELEC] - sensor AS5147 {right-angle header pins on label side}	1	
